typeName;wasteFactor;maxProductionLimit;techLevel;(No column name)
Medium Low Friction Nozzle Joints I;10;300;1;NULL
Medium Low Friction Nozzle Joints II;10;10;2;Medium Low Friction Nozzle Joints I
Medium Memetic Algorithm Bank I;10;300;1;NULL
Medium Memetic Algorithm Bank II;10;10;2;Medium Memetic Algorithm Bank I
Medium Nanobot Accelerator I;10;300;1;NULL
Medium Nanobot Accelerator II;10;10;2;Medium Nanobot Accelerator I
Medium Nosferatu I;10;300;1;NULL
Medium Nosferatu II;10;100;2;Medium Nosferatu I
Medium Particle Dispersion Augmentor I;10;300;1;NULL
Medium Particle Dispersion Augmentor II;10;10;2;Medium Particle Dispersion Augmentor I
Medium Particle Dispersion Projector I;10;300;1;NULL
Medium Particle Dispersion Projector II;10;10;2;Medium Particle Dispersion Projector I
Medium Plasma Smartbomb I;10;300;1;NULL
Medium Plasma Smartbomb II;10;100;2;Medium Plasma Smartbomb I
Medium Polycarbon Engine Housing I;10;300;1;NULL
Medium Polycarbon Engine Housing II;10;10;2;Medium Polycarbon Engine Housing I
Medium Powergrid Subroutine Maximizer I;10;300;1;NULL
Medium Powergrid Subroutine Maximizer II;10;10;2;Medium Powergrid Subroutine Maximizer I
Medium Projectile Ambit Extension I;10;300;1;NULL
Medium Projectile Ambit Extension II;10;10;2;Medium Projectile Ambit Extension I
Medium Projectile Burst Aerator I;10;300;1;NULL
Medium Projectile Burst Aerator II;10;10;2;Medium Projectile Burst Aerator I
Medium Projectile Collision Accelerator I;10;300;1;NULL
Medium Projectile Collision Accelerator II;10;10;2;Medium Projectile Collision Accelerator I
Medium Projectile Locus Coordinator I;10;300;1;NULL
Medium Projectile Locus Coordinator II;10;10;2;Medium Projectile Locus Coordinator I
Medium Projectile Metastasis Adjuster I;10;300;1;NULL
Medium Projectile Metastasis Adjuster II;10;10;2;Medium Projectile Metastasis Adjuster I
Medium Proton Smartbomb I;10;300;1;NULL
Medium Proton Smartbomb II;10;100;2;Medium Proton Smartbomb I
Medium Pulse Laser Battery;10;5;1;NULL
Medium Pulse Laser I;10;300;1;NULL
Medium Pulse Laser II;10;100;2;Medium Pulse Laser I
Medium Railgun Battery;10;5;1;NULL
Medium Remote Armor Repair System I;10;300;1;NULL
Medium Remote Armor Repair System II;10;100;2;Medium Remote Armor Repair System I
Medium Remote Hull Repair System I;10;300;1;NULL
Medium Remote Hull Repair System II;10;100;2;Medium Remote Hull Repair System I
Medium Remote Repair Augmentor I;10;300;1;NULL
Medium Remote Repair Augmentor II;10;10;2;Medium Remote Repair Augmentor I
Medium Rocket Fuel Cache Partition I;10;300;1;NULL
Medium Rocket Fuel Cache Partition II;10;10;2;Medium Rocket Fuel Cache Partition I
Medium Salvage Tackle I;10;300;1;NULL
Medium Salvage Tackle II;10;10;2;Medium Salvage Tackle I
Medium Semiconductor Memory Cell I;10;300;1;NULL
Medium Semiconductor Memory Cell II;10;10;2;Medium Semiconductor Memory Cell I
Medium Sentry Damage Augmentor I;10;300;1;NULL
Medium Sentry Damage Augmentor II;10;10;2;Medium Sentry Damage Augmentor I
Medium Shield Booster I;10;300;1;NULL
Medium Shield Booster II;10;100;2;Medium Shield Booster I
Medium Shield Extender I;10;300;1;NULL
Medium Shield Extender II;10;100;2;Medium Shield Extender I
Medium Shield Maintenance Bot I;10;1500;1;NULL
Medium Shield Maintenance Bot II;10;100;2;Medium Shield Maintenance Bot I
Medium Shield Transporter I;10;300;1;NULL
Medium Shield Transporter II;10;100;2;Medium Shield Transporter I
Medium Ship Assembly Array;10;5;1;NULL
Medium Signal Disruption Amplifier I;10;300;1;NULL
Medium Signal Disruption Amplifier II;10;10;2;Medium Signal Disruption Amplifier I
Medium Signal Focusing Kit I;10;300;1;NULL
Medium Signal Focusing Kit II;10;10;2;Medium Signal Focusing Kit I
Medium Stasis Drone Augmentor I;10;300;1;NULL
Medium Stasis Drone Augmentor II;10;10;2;Medium Stasis Drone Augmentor I
Medium Targeting System Subcontroller I;10;300;1;NULL
Medium Targeting System Subcontroller II;10;10;2;Medium Targeting System Subcontroller I
Medium Targeting Systems Stabilizer I;10;300;1;NULL
Medium Targeting Systems Stabilizer II;10;10;2;Medium Targeting Systems Stabilizer I
Medium Tracking Diagnostic Subroutines I;10;300;1;NULL
Medium Tracking Diagnostic Subroutines II;10;10;2;Medium Tracking Diagnostic Subroutines I
Medium Trimark Armor Pump I;10;300;1;NULL
Medium Trimark Armor Pump II;10;10;2;Medium Trimark Armor Pump I
Medium Warhead Calefaction Catalyst I;10;300;1;NULL
Medium Warhead Calefaction Catalyst II;10;10;2;Medium Warhead Calefaction Catalyst I
Medium Warhead Flare Catalyst I;10;300;1;NULL
Medium Warhead Flare Catalyst II;10;10;2;Medium Warhead Flare Catalyst I
Medium Warhead Rigor Catalyst I;10;300;1;NULL
Medium Warhead Rigor Catalyst II;10;10;2;Medium Warhead Rigor Catalyst I
Medium Warp Core Optimizer I;10;300;1;NULL
Medium Warp Core Optimizer II;10;10;2;Medium Warp Core Optimizer I
Mega Beam Laser I;10;300;1;NULL
Mega Beam Laser II;10;100;2;Mega Beam Laser I
Mega Pulse Laser I;10;300;1;NULL
Mega Pulse Laser II;10;100;2;Mega Pulse Laser I
Megathron;10;10;1;NULL
Megathron Federate Issue;10;10;1;Megathron
Megathron Navy Issue;10;10;1;Megathron
Mercoxit Mining Crystal I;10;100;2;NULL
Mercoxit Mining Crystal II;10;100;2;Mercoxit Mining Crystal I
Merlin;10;30;1;NULL
Metallofullerene Plating;10;1000;3;NULL
Micro Auxiliary Power Core I;10;300;1;NULL
Micro Auxiliary Power Core II;10;100;2;Micro Auxiliary Power Core I
Microwave L;10;1500;1;NULL
Microwave M;10;1500;1;NULL
Microwave S;10;1500;1;NULL
Microwave XL;10;1000;1;NULL
Miner I;10;300;1;NULL
Miner II;10;100;2;Miner I
Mining Drone I;10;1500;1;NULL
Mining Drone II;10;100;2;Mining Drone I
Mining Foreman Link - Harvester Capacitor Efficiency I;5;300;1;NULL
Mining Foreman Link - Harvester Capacitor Efficiency II;5;100;2;Mining Foreman Link - Harvester Capacitor Efficiency I
Mining Foreman Link - Laser Optimization I;5;300;1;NULL
Mining Foreman Link - Laser Optimization II;5;100;2;Mining Foreman Link - Laser Optimization I
Mining Foreman Link - Mining Laser Field Enhancement I;5;300;1;NULL
Mining Foreman Link - Mining Laser Field Enhancement II;5;100;2;Mining Foreman Link - Mining Laser Field Enhancement I
Mining Laser Upgrade I;10;300;1;NULL
Mining Laser Upgrade II;10;100;2;Mining Laser Upgrade I
Minmatar Control Tower;10;5;1;NULL
Minmatar Control Tower Medium;10;5;1;NULL
Minmatar Control Tower Small;10;5;1;NULL
Minmatar Fuel Block;5;300;1;NULL
Minmatar Service Outpost Platform;10;1;1;NULL
Minmatar Shuttle;10;30;1;NULL
Mjolnir Assault Missile;10;1500;1;NULL
Mjolnir Citadel Cruise Missile;10;1000;1;NULL
Mjolnir Citadel Torpedo;10;1000;1;NULL
Mjolnir Cruise Missile;10;1500;1;NULL
Mjolnir Fury Cruise Missile;10;100;2;Mjolnir Cruise Missile
Mjolnir Fury Heavy Missile;10;100;2;Mjolnir Heavy Missile
Mjolnir Fury Light Missile;10;100;2;Mjolnir Light Missile
Mjolnir Heavy Missile;10;1500;1;NULL
Mjolnir Javelin Assault Missile;10;100;2;Mjolnir Assault Missile
Mjolnir Javelin Rocket;10;100;2;Mjolnir Rocket
Mjolnir Javelin Torpedo;10;100;2;Mjolnir Torpedo
Mjolnir Light Missile;10;1500;1;NULL
Mjolnir Precision Cruise Missile;10;100;2;Mjolnir Cruise Missile
Mjolnir Precision Heavy Missile;10;100;2;Mjolnir Heavy Missile
Mjolnir Precision Light Missile;10;100;2;Mjolnir Light Missile
Mjolnir Rage Assault Missile;10;100;2;Mjolnir Assault Missile
Mjolnir Rage Rocket;10;100;2;Mjolnir Rocket
Mjolnir Rage Torpedo;10;100;2;Mjolnir Torpedo
Mjolnir Rocket;10;1500;1;NULL
Mjolnir Torpedo;10;1500;1;NULL
Moa;10;15;1;NULL
'Moat' Heavy Energy Neutralizer I;10;1000;1;Heavy Energy Neutralizer I
Mobile Laboratory;10;5;1;NULL
Mobile Large Warp Disruptor I;10;10;1;NULL
Mobile Large Warp Disruptor II;10;50;2;Mobile Large Warp Disruptor I
Mobile Medium Warp Disruptor I;10;10;1;NULL
Mobile Medium Warp Disruptor II;10;50;2;Mobile Medium Warp Disruptor I
Mobile Small Warp Disruptor I;10;10;1;NULL
Mobile Small Warp Disruptor II;10;50;2;Mobile Small Warp Disruptor I
Modified Augumene Antidote;5;1;1;NULL
Modulated Deep Core Miner II;10;100;2;Deep Core Mining Laser I
Modulated Deep Core Strip Miner II;10;100;2;Strip Miner I
Modulated Strip Miner II;10;100;2;Strip Miner I
'Monopoly' Magnetic Field Stabilizer I;10;1000;1;Magnetic Field Stabilizer I
Moon Harvesting Array;10;5;1;NULL
'Moonshine' Energized Thermic Membrane I;10;1000;1;Energized Thermic Membrane I
Moros;10;1;1;NULL
'Motte' Capacitor Power Relay I;10;1000;1;Capacitor Power Relay I
Multi Sensor Backup Array I;10;300;1;NULL
Multi Sensor Backup Array II;10;100;2;Multi Sensor Backup Array I
Multi Sensor Firewall;10;1000;1;Multi Sensor Backup Array I
Multifrequency L;10;1500;1;NULL
Multifrequency M;10;1500;1;NULL
Multifrequency S;10;1500;1;NULL
Multifrequency XL;10;1000;1;NULL
Muninn;10;10;2;Rupture
Myrmidon;10;15;1;NULL
N-1 Neon Type Rocket Bay;10;1000;1;Rocket Launcher I
Naga;10;15;1;NULL
Naglfar;10;1;1;NULL
Nanite Repair Paste;10;5;1;NULL
Nano Paint;10;1000;1;NULL
Nanoelectrical Microprocessor;10;1000;2;NULL
Nanofiber Internal Structure I;10;300;1;NULL
Nanofiber Internal Structure II;10;100;2;Nanofiber Internal Structure I
Nanomechanical Microprocessor;10;1000;2;NULL
Nanowire Composites;10;1000;3;NULL
'Natura' Warp Core Stabilizer I;10;1000;1;Warp Core Stabilizer I
Navitas;10;30;1;NULL
Nemesis;10;10;2;Tristan
Neurovisual Output Analyzer;10;1000;3;NULL
Neutron Blaster Cannon I;10;300;1;NULL
Neutron Blaster Cannon II;10;100;2;Neutron Blaster Cannon I
Nidhoggur;10;1;1;NULL
Nighthawk;10;10;2;Ferox
Nightmare;10;10;1;NULL
Noctis;10;15;1;Primae
Nomad;10;10;2;Fenrir
'Noose' Cruise Missile Launcher;10;1000;2;Cruise Missile Launcher I
Nova Assault Missile;10;1500;1;NULL
Nova Citadel Cruise Missile;10;1000;1;NULL
Nova Citadel Torpedo;10;1000;1;NULL
Nova Cruise Missile;10;1500;1;NULL
Nova Fury Cruise Missile;10;100;2;Nova Cruise Missile
Nova Fury Heavy Missile;10;100;2;Nova Heavy Missile
Nova Fury Light Missile;10;100;2;Nova Light Missile
Nova Heavy Missile;10;1500;1;NULL
Nova Javelin Assault Missile;10;100;2;Nova Assault Missile
Nova Javelin Rocket;10;100;2;Nova Rocket
Nova Javelin Torpedo;10;100;2;Nova Torpedo
Nova Light Missile;10;1500;1;NULL
Nova Precision Cruise Missile;10;100;2;Nova Cruise Missile
Nova Precision Heavy Missile;10;100;2;Nova Heavy Missile
Nova Precision Light Missile;10;100;2;Nova Light Missile
Nova Rage Assault Missile;10;100;2;Nova Assault Missile
Nova Rage Rocket;10;100;2;Nova Rocket
Nova Rage Torpedo;10;100;2;Nova Torpedo
Nova Rocket;10;1500;1;NULL
Nova Torpedo;10;1500;1;NULL
Nuclear L;10;1500;1;NULL
Nuclear M;10;1500;1;NULL
Nuclear Pulse Generator;10;1000;2;NULL
Nuclear Reactor Unit;10;1000;2;NULL
Nuclear S;10;1500;1;NULL
Nuclear XL;10;1000;1;NULL
Nugget Ballistic Deflection Field;10;1000;2;Ballistic Deflection Field I
Null L;10;100;2;Thorium Charge L
Null M;10;100;2;Thorium Charge M
Null S;10;100;2;Thorium Charge S
Nyx;10;1;1;NULL
Obelisk;10;1;1;NULL
Obliterator F.O.F. Cruise Missile I;10;1500;1;NULL
Oblivion;10;1;1;NULL
Occator;10;10;2;Iteron Mark III
Occult Data Interface;10;10;1;NULL
Occult Ship Data Interface;10;10;1;NULL
Occult Tuner Data Interface;10;10;1;NULL
Ogre I;10;1500;1;NULL
Ogre II;10;100;2;Ogre I
Ogre SD-900;10;1500;1;NULL
Omber Mining Crystal I;10;100;1;NULL
Omber Mining Crystal II;10;100;2;Omber Mining Crystal I
Omen;10;15;1;NULL
Omen Navy Issue;10;15;1;Omen
Omnidirectional Tracking Link I;10;300;1;NULL
Omnidirectional Tracking Link II;10;100;2;Omnidirectional Tracking Link I
Oneiros;10;10;2;Exequror
Onyx;10;10;2;Moa
Optimal Range;10;1000;1;NULL
Optimal Range Disruption;10;1000;1;NULL
Optimized Nano-engines;10;1000;3;NULL
Oracle;10;15;1;NULL
Orca;10;1;1;NULL
Oscillator Capacitor Unit;10;1000;2;NULL
Osprey;10;15;1;NULL
Osprey Navy Issue;10;15;1;Osprey
Overdrive Injector System I;10;300;1;NULL
Overdrive Injector System II;10;100;2;Overdrive Injector System I
'Pacifier' Large Remote Armor Repair System I;10;1000;1;Large Remote Armor Repair System I
'Page' Capacitor Flux Coil I;10;1000;1;Capacitor Flux Coil I
Paladin;10;10;2;Apocalypse
'Palisade' Cap Recharger I;10;1000;1;Cap Recharger I
Panther;10;10;2;Typhoon
Particle Accelerator Unit;10;1000;2;NULL
Passive Targeter I;10;300;1;NULL
Passive Targeter II;10;100;2;Passive Targeter I
'Peace' Large Remote Armor Repair System I;10;1000;1;Large Remote Armor Repair System I
Phantasm;10;15;1;NULL
Phase Inversion Battery;10;5;1;NULL
Phased Plasma L;10;1500;1;NULL
Phased Plasma M;10;1500;1;NULL
Phased Plasma S;10;1500;1;NULL
Phased Plasma XL;10;1000;1;NULL
Phobos;10;10;2;Thorax
Phoenix;10;1;1;NULL
Phoenix F.O.F. Cruise Missile I;10;1500;1;NULL
Photon Microprocessor;10;1000;2;NULL
Photon Scattering Array;10;5;1;NULL
Photon Scattering Field I;10;300;1;NULL
Photon Scattering Field II;10;100;2;Photon Scattering Field I
'Pickaxe' Assault Missile Launcher;10;1000;2;Assault Missile Launcher I
'Pike' Small EMP Smartbomb I;10;1000;1;Small EMP Smartbomb I
'Pilfer' Energized Adaptive Nano Membrane I;10;1000;1;Energized Adaptive Nano Membrane I
Pilgrim;10;10;2;Arbitrator
Plagioclase Mining Crystal I;10;100;1;NULL
Plagioclase Mining Crystal II;10;100;2;Plagioclase Mining Crystal I
Plasma Pulse Generator;10;1000;2;NULL
Plasma Thruster;10;1000;2;NULL
'Plough' Heavy Capacitor Booster I;10;1000;1;Heavy Capacitor Booster I
'Plunderer' Spatial Destabilizer;10;1000;2;ECM - Spatial Destabilizer I
Plutonium Charge L;10;1500;1;NULL
Plutonium Charge M;10;1500;1;NULL
Plutonium Charge S;10;1500;1;NULL
Plutonium Charge XL;10;1000;1;NULL
Poacher Photon Scattering Field;10;1000;2;Photon Scattering Field I
Polymer Reactor Array;10;5;1;NULL
'Portcullis' Reactor Control Unit I;10;1000;1;Reactor Control Unit I
Posse Invulnerability Field;10;1000;2;Invulnerability Field I
Power Diagnostic System I;10;300;1;NULL
Power Diagnostic System II;10;100;2;Power Diagnostic System I
Praetor EV-900;10;1500;1;NULL
Praetor I;10;1500;1;NULL
Praetor II;10;100;2;Praetor I
Praetor TD-900;10;1500;1;NULL
Primae;10;1000;1;NULL
Probe;10;30;1;NULL
Process-Interruptive Warp Disruptor;10;1000;1;Warp Disruptor I
Procurer;10;10;1;NULL
Prophecy;10;15;1;NULL
Prorator;10;10;2;Sigil
Prospector Magnetic Scattering Amplifier;10;1000;2;Magnetic Scattering Amplifier I
'Protest' Large Armor Repairer I;10;1000;1;Large Armor Repairer I
Proteus;0;20;3;NULL
Proteus Defensive - Adaptive Augmenter;0;1000;3;NULL
Proteus Defensive - Augmented Plating;0;1000;3;Proteus Defensive - Adaptive Augmenter
Proteus Defensive - Nanobot Injector;0;1000;3;Proteus Defensive - Adaptive Augmenter
Proteus Defensive - Warfare Processor;0;1000;3;Proteus Defensive - Adaptive Augmenter
Proteus Electronics - CPU Efficiency Gate;0;1000;3;Proteus Electronics - Friction Extension Processor
Proteus Electronics - Dissolution Sequencer;0;1000;3;Proteus Electronics - Friction Extension Processor
Proteus Electronics - Emergent Locus Analyzer;0;1000;3;Proteus Electronics - Friction Extension Processor
Proteus Electronics - Friction Extension Processor;0;1000;3;NULL
Proteus Engineering - Augmented Capacitor Reservoir;0;1000;3;Proteus Engineering - Power Core Multiplier
Proteus Engineering - Capacitor Regeneration Matrix;0;1000;3;Proteus Engineering - Power Core Multiplier
Proteus Engineering - Power Core Multiplier;0;1000;3;NULL
Proteus Engineering - Supplemental Coolant Injector;0;1000;3;Proteus Engineering - Power Core Multiplier
Proteus Offensive - Covert Reconfiguration;0;1000;3;Proteus Offensive - Dissonic Encoding Platform
Proteus Offensive - Dissonic Encoding Platform;0;1000;3;NULL
Proteus Offensive - Drone Synthesis Projector;0;1000;3;Proteus Offensive - Dissonic Encoding Platform
Proteus Offensive - Hybrid Propulsion Armature;0;1000;3;Proteus Offensive - Dissonic Encoding Platform
Proteus Propulsion - Gravitational Capacitor;0;1000;3;Proteus Propulsion - Wake Limiter
Proteus Propulsion - Interdiction Nullifier;0;1000;3;Proteus Propulsion - Wake Limiter
Proteus Propulsion - Localized Injectors;0;1000;3;Proteus Propulsion - Wake Limiter
Proteus Propulsion - Wake Limiter;0;1000;3;NULL
Proton L;10;1500;1;NULL
Proton M;10;1500;1;NULL
Proton S;10;1500;1;NULL
Proton XL;10;1000;1;NULL
Prototype Cloaking Device I;10;100;1;NULL
Prototype 'Poncho' Cloaking Device I;10;1000;2;Prototype Cloaking Device I
Providence;10;1;1;NULL
Prowler;10;10;2;Wreathe
Pulse Shield Emitter;10;1000;2;NULL
Punisher;10;30;1;NULL
Purifier;10;10;2;Inquisitor
Purloined Sansha Codebreaker;10;1000;1;Codebreaker I
Pyroxeres Mining Crystal I;10;100;1;NULL
Pyroxeres Mining Crystal II;10;100;2;Pyroxeres Mining Crystal I
Quad 3500mm Gallium Cannon;10;1000;1;Quad 3500mm Siege Artillery I
Quad 3500mm Siege Artillery I;10;10;1;NULL
Quad Light Beam Laser I;10;300;1;NULL
Quad Light Beam Laser II;10;100;2;Quad Light Beam Laser I
Quake L;10;100;2;Titanium Sabot L
Quake M;10;100;2;Titanium Sabot M
Quake S;10;100;2;Titanium Sabot S
Quantum Microprocessor;10;1000;2;NULL
Quest Survey Probe I;5;1000;1;NULL
R.A.M.- Ammunition Tech;10;300;2;NULL
R.A.M.- Armor/Hull Tech;10;300;2;NULL
R.A.M.- Cybernetics;10;300;2;NULL
R.A.M.- Electronics;10;300;2;NULL
R.A.M.- Energy Tech;10;300;2;NULL
R.A.M.- Robotics;10;300;2;NULL
R.A.M.- Shield Tech;10;300;2;NULL
R.A.M.- Starship Tech;10;300;2;NULL
R.A.M.- Weapon Tech;10;300;2;NULL
R.Db - Boundless Creations;10;300;2;NULL
R.Db - Carthum Conglomerate;10;300;2;NULL
R.Db - Core Complexion;10;300;2;NULL
R.Db - CreoDron;10;300;2;NULL
R.Db - Duvolle Labs;10;300;2;NULL
R.Db - Ishukone;10;300;2;NULL
R.Db - Kaalakiota;10;300;2;NULL
R.Db - Khanid Innovation;10;300;2;NULL
R.Db - Lai Dai;10;300;2;NULL
R.Db - Roden Shipyards;10;300;2;NULL
R.Db - Thukker Mix;10;300;2;NULL
R.Db - Viziam;10;300;2;NULL
RADAR Backup Array I;10;300;1;NULL
RADAR Backup Array II;10;100;2;RADAR Backup Array I
RADAR Firewall;10;1000;1;RADAR Backup Array I
Radar Sensor Cluster;10;1000;2;NULL
'Radical' Damage Control I;10;1000;1;Damage Control I
Radio L;10;1500;1;NULL
Radio M;10;1500;1;NULL
Radio S;10;1500;1;NULL
Radio XL;10;1000;1;NULL
Ragnarok;10;1;1;NULL
Rapid Equipment Assembly Array;10;5;1;NULL
Rapier;10;10;2;Bellicose
Raptor;10;10;2;Condor
Rattlesnake;10;10;1;Scorpion
Raven;10;10;1;NULL
Raven Navy Issue;10;10;1;Raven
Reactive Plating I;10;300;1;NULL
Reactive Plating II;10;100;2;Reactive Plating I
Reactor Control Unit I;10;300;1;NULL
Reactor Control Unit II;10;100;2;Reactor Control Unit I
Reconfigured Subspace Calibrator;10;1000;3;NULL
Redeemer;10;10;2;Armageddon
Refining Array;10;5;1;NULL
Reflective Plating I;10;300;1;NULL
Reflective Plating II;10;100;2;Reflective Plating I
Regenerative Plating I;10;300;1;NULL
Regenerative Plating II;10;100;2;Regenerative Plating I
Reinforced Bulkheads I;10;300;1;NULL
Reinforced Bulkheads II;10;100;2;Reinforced Bulkheads I
Reinforced Metallofullerene Alloys;10;1000;3;NULL
Remote ECM Burst I;10;10;1;NULL
Remote Sensor Booster I;10;300;1;NULL
Remote Sensor Booster II;10;100;2;Remote Sensor Booster I
Remote Sensor Dampener I;10;300;1;NULL
Remote Sensor Dampener II;10;100;2;Remote Sensor Dampener I
Republic Fleet 100MN Afterburner;10;1000;1;100MN Afterburner I
Republic Fleet 100MN MicroWarpdrive;10;1000;1;100MN MicroWarpdrive I
Republic Fleet 10MN Afterburner;10;1000;1;10MN Afterburner I
Republic Fleet 10MN MicroWarpdrive;10;1000;1;10MN MicroWarpdrive I
Republic Fleet 1MN Afterburner;10;1000;1;1MN Afterburner I
Republic Fleet 1MN MicroWarpdrive;10;1000;1;1MN MicroWarpdrive I
Republic Fleet Adaptive Nano Plating;10;1000;1;Adaptive Nano Plating I
Republic Fleet Armor EM Hardener;10;1000;1;Armor EM Hardener I
Republic Fleet Armor Explosive Hardener;10;1000;1;Armor Explosive Hardener I
Republic Fleet Armor Kinetic Hardener;10;1000;1;Armor Kinetic Hardener I
Republic Fleet Armor Thermic Hardener;10;1000;1;Armor Thermic Hardener I
Republic Fleet Ballistic Control System;10;1000;1;Ballistic Control System I
Republic Fleet Cruise Missile Launcher;10;1000;1;Cruise Missile Launcher I
Republic Fleet Explosion Dampening Amplifier;10;1000;1;Explosion Dampening Amplifier I
Republic Fleet Firetail;10;30;1;NULL
Republic Fleet Gyrostabilizer;10;1000;1;Gyrostabilizer I
Republic Fleet Heat Dissipation Amplifier;10;1000;1;Heat Dissipation Amplifier I
Republic Fleet Heavy Assault Missile Launcher;10;1000;1;Heavy Assault Missile Launcher I
Republic Fleet Kinetic Deflection Amplifier;10;1000;1;Kinetic Deflection Amplifier I
Republic Fleet Large Proton Smartbomb;10;1000;1;Large Proton Smartbomb I
Republic Fleet Magnetic Plating;10;1000;1;Magnetic Plating I
Republic Fleet Magnetic Scattering Amplifier;10;1000;1;Magnetic Scattering Amplifier I
Republic Fleet Medium Proton Smartbomb;10;1000;1;Medium Proton Smartbomb I
Republic Fleet Reactive Plating;10;1000;1;Reactive Plating I
Republic Fleet Reflective Plating;10;1000;1;Reflective Plating I
Republic Fleet Rocket Launcher;10;1000;1;Rocket Launcher I
Republic Fleet Shield Boost Amplifier;10;300;1;Shield Boost Amplifier I
Republic Fleet Small Proton Smartbomb;10;1000;1;Small Proton Smartbomb I
Republic Fleet Thermic Plating;10;1000;1;Thermic Plating I
Republic Fleet Tracking Enhancer;10;1000;1;Tracking Enhancer I
Republic Fleet Warp Disruptor;10;1000;1;Warp Disruptor I
Republic Fleet Warp Scrambler;10;1000;1;Warp Scrambler I
Retribution;10;10;2;Punisher
Retriever;10;10;1;NULL
Revelation;10;1;1;NULL
Revenant;10;1;1;NULL
Rhea;10;10;2;Charon
Rifter;10;30;1;NULL
Rocket Launcher I;10;300;1;NULL
Rocket Launcher II;10;100;2;Rocket Launcher I
Rokh;10;10;1;NULL
Rook;10;10;2;Blackbird
Rorqual;10;1;1;NULL
Rupture;10;15;1;NULL
Sabre;10;10;2;Thrasher
Sacrilege;10;10;2;Maller
'Saddle' Small Capacitor Booster I;10;1000;1;Small Capacitor Booster I
Salvager I;10;300;1;NULL
Salvager II;10;100;2;Salvager I
Sansha Control Tower;0;5;1;Amarr Control Tower
Sansha Control Tower Medium;0;5;1;Amarr Control Tower Medium
Sansha Control Tower Small;0;5;1;Amarr Control Tower Small
Sansha Energy Neutralizing Battery;10;5;1;Energy Neutralizing Battery
Sansha Large Beam Laser Battery;10;3;1;Large Beam Laser Battery
Sansha Large Pulse Laser Battery;10;3;1;Large Pulse Laser Battery
Sansha Medium Beam Laser Battery;10;3;1;Medium Beam Laser Battery
Sansha Medium Pulse Laser Battery;10;3;1;Medium Pulse Laser Battery
Sansha Small Beam Laser Battery;10;3;1;Small Beam Laser Battery
Sansha Small Pulse Laser Battery;10;3;1;Small Pulse Laser Battery
Scalar Capacitor Unit;10;1000;2;NULL
Scan Resolution;10;1000;1;NULL
Scan Resolution Dampening;10;1000;1;NULL
Scimitar;10;10;2;Scythe
Scorch Bomb;10;300;1;NULL
Scorch L;10;100;2;Ultraviolet L
Scorch M;10;100;2;Ultraviolet M
Scorch S;10;100;2;Ultraviolet S
Scordite Mining Crystal I;10;100;1;NULL
Scordite Mining Crystal II;10;100;2;Scordite Mining Crystal I
Scorpion;10;10;1;NULL
Scorpion Ishukone Watch;10;1000;1;NULL
Scythe;10;15;1;NULL
Scythe Fleet Issue;10;15;1;Scythe
Seeker F.O.F. Light Missile I;10;1500;1;NULL
Sensor Booster I;10;300;1;NULL
Sensor Booster II;10;100;2;Sensor Booster I
Sensor Dampening Battery;10;5;1;NULL
Sentinel;10;10;2;Crucifier
Serpent F.O.F. Light Missile I;10;1500;1;NULL
Serpentis Control Tower;0;5;1;Gallente Control Tower
Serpentis Control Tower Medium;0;5;1;Gallente Control Tower Medium
Serpentis Control Tower Small;0;5;1;Gallente Control Tower Small
Serpentis Large Blaster Battery;10;5;1;Large Blaster Battery
Serpentis Large Railgun Battery;10;5;1;Large Railgun Battery
Serpentis Medium Blaster Battery;10;5;1;Medium Blaster Battery
Serpentis Medium Railgun Battery;10;5;1;Medium Railgun Battery
Serpentis Sensor Dampening Battery;10;5;1;Sensor Dampening Battery
Serpentis Small Blaster Battery;10;5;1;Small Blaster Battery
Serpentis Small Railgun Battery;10;5;1;Small Railgun Battery
Serpentis Warp Disruption Battery;10;3;1;Warp Disruption Battery
Serpentis Warp Scrambling Battery;10;3;1;Warp Scrambling Battery
Shadow;10;10;1;NULL
Shadow Control Tower;0;5;1;Gallente Control Tower
Shadow Control Tower Medium;0;5;1;Gallente Control Tower Medium
Shadow Control Tower Small;0;5;1;Gallente Control Tower Small
Shadow Large Blaster Battery;10;5;1;Large Blaster Battery
Shadow Large Railgun Battery;10;5;1;Large Railgun Battery
Shadow Medium Blaster Battery;10;5;1;Medium Blaster Battery
Shadow Medium Railgun Battery;10;5;1;Medium Railgun Battery
Shadow Sensor Dampening Battery;10;5;1;Sensor Dampening Battery
Shadow Small Blaster Battery;10;5;1;Small Blaster Battery
Shadow Small Railgun Battery;10;5;1;Small Railgun Battery
Shadow Warp Disruption Battery;10;3;1;Warp Disruption Battery
Shadow Warp Scrambling Battery;10;3;1;Warp Scrambling Battery
'Shady' ECCM - Gravimetric I;10;1000;1;ECCM - Gravimetric I
Shield Boost Amplifier I;10;300;1;NULL
Shield Boost Amplifier II;10;100;2;Shield Boost Amplifier I
Shield Flux Coil I;10;300;1;NULL
Shield Flux Coil II;10;100;2;Shield Flux Coil I
Shield Power Relay I;10;300;1;NULL
Shield Power Relay II;10;100;2;Shield Power Relay I
Shield Recharger I;10;300;1;NULL
Shield Recharger II;10;100;2;Shield Recharger I
Ship Maintenance Array;10;5;1;NULL
Ship Scanner I;10;300;1;NULL
Ship Scanner II;10;100;2;Ship Scanner I
